ID,Name,Type,rConc,Name,Type,Value,Calibrated rConc,Quality,Call,Threshold,In Range,Out Range,Peak Ratio
S96-A01,NTC,NTC,1,16S_155y_1392,Test,999,-1,0,Flag,0.002436086,999,999,0
S96-A02,NTC,NTC,1,16S_155y_1392,Test,999,-1,0,Flag,0.002436086,999,999,0
S96-A03,NTC,NTC,1,16S_155y_1392,Test,999,-1,0,Flag,0.002436086,999,999,0
S96-A04,NTC,NTC,1,tetO,Test,999,-1,0,Flag,0.002436086,999,999,0
S96-A05,NTC,NTC,1,tetO,Test,999,-1,0,Flag,0.002436086,999,999,0
S96-A06,NTC,NTC,1,tetO,Test,999,-1,0,Flag,0.002436086,999,999,0
S96-A07,NTC,NTC,1,sul2,Test,999,-1,0,Flag,0.002436086,999,999,0
S96-A08,NTC,NTC,1,sul2,Test,999,-1,0,Flag,0.002436086,999,999,0
S96-A09,NTC,NTC,1,sul2,Test,999,-1,0,Flag,0.002436086,999,999,0
S96-A10,NTC,NTC,1,tetT,Test,999,-1,0,Flag,0.002436086,999,999,0
S96-A11,NTC,NTC,1,tetT,Test,999,-1,0,Flag,0.002436086,999,999,0
S96-A12,NTC,NTC,1,tetT,Test,999,-1,0,Flag,0.002436086,999,999,0
S96-A13,NTC,NTC,1,tet33_241_388,Test,999,-1,0,Flag,0.002436086,999,999,0
S96-A14,NTC,NTC,1,tet33_241_388,Test,999,-1,0,Flag,0.002436086,999,999,0
S96-A15,NTC,NTC,1,tet33_241_388,Test,999,-1,0,Flag,0.002436086,999,999,0
S96-A16,NTC,NTC,1,tetM,Test,999,-1,0,Flag,0.002436086,999,999,0
S96-A17,NTC,NTC,1,tetM,Test,999,-1,0,Flag,0.002436086,999,999,0
S96-A18,NTC,NTC,1,tetM,Test,999,-1,0,Flag,0.002436086,999,999,0
S96-A19,NTC,NTC,1,sul1 NEW,Test,999,-1,0,Flag,0.002436086,999,999,0
S96-A20,NTC,NTC,1,sul1 NEW,Test,999,-1,0,Flag,0.002436086,999,999,0
S96-A21,NTC,NTC,1,sul1 NEW,Test,999,-1,0,Flag,0.002436086,999,999,0
S96-A22,NTC,NTC,1,sulIII-marko,Test,3.841963774,1.69E-10,0.613987925,Flag,0.002436086,73.93690456,999,1
S96-A23,NTC,NTC,1,sulIII-marko,Test,2.5,3.30E-13,0.166666667,Flag,0.002436086,73.94847237,999,1
