Sample Name,Sample Type,Sample Dilution,Assay Name,Assay Replicate,Unique Assay Name,Plate,Assay Efficiency,Ct Quality,Ct Value,Upper Ct Cutoff,Ct Cutoff factor,Calculated Copies,Adjusted Copies,Copies Per uL DNA,Vol DNA Extracted (g or mL),Mass or volume extracted,Copies Per Matrix (g or ml)
A009-011PMaR11C05,Unknown,0.1,16S_1055yF_1392R,a,16S_1055yF_1392R_a,7,104.3684512,Flag,25.24953025,19.30146386,-5.948066385,0.145635948,0,0,100,29.33333333,1
A009-011PMaR11C05,Unknown,0.1,16S_1055yF_1392R,b,16S_1055yF_1392R_b,7,104.3684512,Flag,25.81695826,19.30146386,-6.515494403,0.097080221,0,0,100,29.33333333,2
A012-014PMaR11C06,Unknown,0.1,16S_1055yF_1392R,a,16S_1055yF_1392R_a,7,104.3684512,Pass,11.80977874,19.30146386,7.491685126,2163.520587,2163.520587,322913.5205,100,11.33333333,3
A012-014PMaR11C06,Unknown,0.1,16S_1055yF_1392R,b,16S_1055yF_1392R_b,7,104.3684512,Pass,11.85345903,19.30146386,7.448004826,2097.017419,2097.017419,312987.6744,100,11.33333333,4
A015-017PMaR11C07,Unknown,0.1,16S_1055yF_1392R,a,16S_1055yF_1392R_a,7,104.3684512,Pass,12.85168846,19.30146386,6.449775396,1027.394521,1027.394521,153342.4658,100,16,5
A015-017PMaR11C07,Unknown,0.1,16S_1055yF_1392R,b,16S_1055yF_1392R_b,7,104.3684512,Pass,12.86627509,19.30146386,6.435188771,1016.738682,1016.738682,151752.0421,100,16,6
A009-011PMaR11C05,Unknown,0.1,16S_Eub_338F_515R,a,16S_Eub_338F_515R_a,7,126.3102994,Pass,10.37480332,17.31833561,6.943532281,4574.335267,4574.335267,682736.607,100,29.33333333,7
A009-011PMaR11C05,Unknown,0.1,16S_Eub_338F_515R,b,16S_Eub_338F_515R_b,7,126.3102994,Pass,10.42677987,17.31833561,6.891555738,4384.210154,4384.210154,654359.7244,100,29.33333333,8
A012-014PMaR11C06,Unknown,0.1,16S_Eub_338F_515R,a,16S_Eub_338F_515R_a,7,126.3102994,Pass,9.351096056,17.31833561,7.96723955,10554.74552,10554.74552,1575335.152,100,11.33333333,9
A012-014PMaR11C06,Unknown,0.1,16S_Eub_338F_515R,b,16S_Eub_338F_515R_b,7,126.3102994,Pass,9.402029594,17.31833561,7.916306012,10124.67528,10124.67528,1511145.563,100,11.33333333,10
A015-017PMaR11C07,Unknown,0.1,16S_Eub_338F_515R,a,16S_Eub_338F_515R_a,7,126.3102994,Pass,10.89990833,17.31833561,6.418427275,2978.980795,2978.980795,444623.9993,100,16,11
A015-017PMaR11C07,Unknown,0.1,16S_Eub_338F_515R,b,16S_Eub_338F_515R_b,7,126.3102994,Pass,10.95592829,17.31833561,6.362407318,2845.750581,2845.750581,424738.8927,100,16,12
