Name,sample_type,location,plot,time,matrix
16S_155y_1392,standard,na,na,na,na
AM_B1,env,A,1,na,manure
AM_B2,env,A,2,na,manure
AM_B3,env,A,3,na,manure
erm(35),standard,na,na,na,na
erm(F),standard,na,na,na,na
P1_1,env,P,1,1,water
P1_2,env,P,1,2,water
P1_3,env,P,1,3,water
P1_4,env,P,1,4,water
P1_5,env,P,1,5,water
P1_6,env,P,1,6,water
P2_1,env,P,2,1,water
P2_2,env,P,2,2,water
P2_3,env,P,2,3,water
P2_4,env,P,2,4,water
P2_5,env,P,2,5,water
P2_6,env,P,2,6,water
P3_1,env,P,3,1,water
P3_2,env,P,3,2,water
P3_3,env,P,3,3,water
P3_4,env,P,3,4,water
P3_5,env,P,3,5,water
P3_6,env,P,3,6,water
P4_1,env,P,4,1,water
P4_2,env,P,4,2,water
P4_3,env,P,4,3,water
P4_4,env,P,4,4,water
P4_5,env,P,4,5,water
P4_6,env,P,4,6,water
P5_1,env,P,5,1,water
P5_2,env,P,5,2,water
P5_3,env,P,5,3,water
P5_4,env,P,5,4,water
P5_5,env,P,5,5,water
P5_6,env,P,5,6,water
P6_1,env,P,6,1,water
P6_2,env,P,6,2,water
P6_3,env,P,6,3,water
P6_4,env,P,6,4,water
P6_5,env,P,6,5,water
P6_6,env,P,6,6,water
P7_1,env,P,7,1,water
P7_2,env,P,7,2,water
P7_3,env,P,7,3,water
P7_4,env,P,7,4,water
P7_5,env,P,7,5,water
P7_6,env,P,7,6,water
P8_1,env,P,8,1,water
P8_2,env,P,8,2,water
P8_3,env,P,8,3,water
P8_4,env,P,8,4,water
P8_5,env,P,8,5,water
P8_6,env,P,8,6,water
P9_1,env,P,9,1,water
P9_2,env,P,9,2,water
P9_3,env,P,9,3,water
P9_4,env,P,9,4,water
P9_5,env,P,9,5,water
P9_6,env,P,9,6,water
sat4,standard,na,na,na,na
Supply_Water,control,na,na,na,na
tet(36),standard,na,na,na,na
tet33_241_388,standard,na,na,na,na
